index,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
0,Studio apartment 10minute to JFK 20m to Manhattan,80904983,Eddie,Queens,Briarwood,40.71116,-73.81514,Entire home/apt,75,2,57,17/05/2019,1.55,1,314
1,"People of the Arts Welcome! 
420 friendly",202986805,Miss,Brooklyn,Crown Heights,40.67175,-73.92117,Private room,46,3,12,30/05/2019,1.01,1,19
2,COUSY PRIVATE ROOM,45416627,Lolita,Queens,Astoria,40.77002,-73.92332,Private room,50,1,27,23/06/2019,2.02,9,363
3,Warm and cosy apartment in the heart of New York,4495261,Julien,Manhattan,East Village,40.72631,-73.98507,Entire home/apt,180,7,2,9/09/2018,0.11,1,0
4,Clinton Hill Apartment,16478353,Ali,Brooklyn,Clinton Hill,40.68538,-73.96479,Private room,65,14,6,21/06/2017,0.16,1,0
5,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,40.70837,-73.95352,Entire home/apt,140,2,148,29/06/2019,1.2,1,46
6,Apartment in Luxury Building ***GREAT PRICE***,103277215,Akshay,Manhattan,Theater District,40.76126,-73.98636,Entire home/apt,190,10,5,2/01/2019,0.16,1,0
7,Unique room in historic Greenpoint,20156576,Glenn,Brooklyn,Greenpoint,40.72829,-73.95354,Private room,50,7,1,28/08/2014,0.02,1,0
8,Lower East Side room steps from all the action!,10787061,Vincent,Manhattan,Lower East Side,40.72105,-73.9931,Entire home/apt,95,2,5,10/12/2017,0.24,1,0
9,Beautiful and Huge Room in Brooklyn,15640230,Susana,Brooklyn,Crown Heights,40.66433,-73.93438,Private room,45,13,2,31/07/2018,0.15,4,354
10,Cozy Room #2 in Brooklyn Home 15 Min from JFK,126110540,Janine,Brooklyn,East New York,40.66379,-73.88177,Private room,50,1,43,1/07/2019,2.26,3,89
11,"BEACH 2 BDR, 2 BTH NEW YORK, BRIGHTON BEACH",181356989,Kseniya,Brooklyn,Brighton Beach,40.57647,-73.96696,Entire home/apt,275,2,1,30/06/2019,1,2,56
